fra,sexe,jour,n_dose1,n_cum_dose1
FR,0,2021-01-26,96761,1258729
FR,0,2021-01-27,103569,1362298
FR,0,2021-01-28,119718,1482016
FR,0,2021-01-29,89231,1571247
FR,0,2021-01-30,28279,1599526
FR,0,2021-01-31,4810,1604336
FR,0,2021-02-01,50098,1654434
FR,0,2021-02-02,68084,1722518
FR,0,2021-02-03,69275,1791793
FR,0,2021-02-04,78215,1870008
FR,0,2021-02-05,65356,1935364
FR,0,2021-02-06,20553,1955917
FR,0,2021-02-07,4734,1960651
FR,0,2021-02-08,44786,2005437
FR,0,2021-02-09,62785,2068222
FR,0,2021-02-10,66750,2134972
FR,0,2021-02-11,81097,2216069
FR,0,2021-02-12,74595,2290664
FR,0,2021-02-13,21134,2311798
FR,0,2021-02-14,4494,2316292
FR,0,2021-02-15,35419,2351711
FR,0,2021-02-16,46833,2398544
FR,0,2021-02-17,47019,2445563
FR,0,2021-02-18,63492,2509055
FR,0,2021-02-19,59585,2568640
FR,0,2021-02-20,17129,2585769
FR,0,2021-02-21,2719,2588488
FR,0,2021-02-22,34184,2622672
FR,0,2021-02-23,48570,2671242
FR,0,2021-02-24,53006,2724248
FR,0,2021-02-25,90814,2815062
FR,0,2021-02-26,102863,2917925
